"id","operador_id","data_abertura","valor_inicial","data_fechamento","valor_fechamento"
"1","0","2025-08-05 11:51:16","500.00","2025-08-05 12:00:38","24.63"
"2","0","2025-08-05 12:24:50","500.00","2025-08-06 10:27:10","4116.73"
"3","0","2025-08-07 15:39:33","500.00","2025-08-07 15:40:27","0.00"
"4","0","2025-08-07 15:58:57","500.00","2025-08-07 16:00:51","0.00"
"5","0","2025-08-07 16:01:26","500.00","2025-08-07 17:53:13","5.00"
"6","0","2025-08-07 17:55:36","250.00","2025-08-08 21:15:13","5702.37"
"7","0","2025-08-08 23:00:04","500.00","2025-08-08 23:00:34","0.00"
"8","0","2025-08-09 06:02:20","300.00","2025-08-09 17:14:44","4732.42"
"9","0","2025-08-10 06:28:05","300.00","2025-08-10 12:19:53","4664.10"
"10","3","2025-08-10 21:53:53","500.00","2025-08-10 21:54:19","300.00"
"11","5","2025-08-11 05:59:32","300.00","2025-08-11 18:26:49","1817.96"
"12","28","2025-08-11 06:31:21","300.00","2025-08-11 18:26:20","1389.71"
"13","5","2025-08-12 06:06:01","400.00","2025-08-12 17:26:26","1488.07"
"14","28","2025-08-12 06:24:14","400.00","2025-08-12 17:45:55","2004.19"
"15","5","2025-08-12 17:28:22","400.00","2025-08-13 06:15:35","718.00"
"16","5","2025-08-13 06:16:18","400.00","2025-08-13 06:42:20","459.11"
"17","28","2025-08-13 06:17:59","400.00","2025-08-13 06:18:05","400.00"
"18","28","2025-08-13 06:18:33","400.00","2025-08-13 06:55:59","489.40"
"19","3","2025-08-13 06:41:54","500.00","2025-08-13 06:41:59","500.00"
"20","5","2025-08-13 06:42:31","500.00","2025-08-13 18:17:01","2713.35"
"21","28","2025-08-13 06:56:08","500.00","2025-08-13 18:09:07","2263.07"
"22","3","2025-08-13 11:09:40","500.00","2025-08-13 11:11:32","250.00"
"23","3","2025-08-13 11:12:37","500.00","2025-08-13 11:13:26","250.00"
"24","28","2025-08-14 06:15:39","400.00","2025-08-14 17:54:38","1259.12"
"25","5","2025-08-14 06:21:51","400.00","2025-08-14 18:36:53","1392.40"
"26","28","2025-08-14 17:54:58","400.00",NULL,NULL
"27","26","2025-08-14 17:55:50","400.00","2025-08-14 19:10:24","729.00"
"id","nome","data_de_admissao","data_de_demissao","cargo","salario"
"id","categoria","valor","data","descricao"
"2","Aluguel","1200.00","2025-06-23",
"3","Luz","2207.51","2025-06-20","TALAO DE INERGIA"
"4","Funcionários","2600.00","2025-06-22","PAGAMENTO RAQUEL , ZECA. KARINE, MARCIO "
"5","Aquisição de Mercadorias","6818.00","2025-06-23","PAGAMENTO CARRADA DE SEXTA FEIRA DATA 20/06"
"6","Funcionários","400.00","2025-06-01","PAGAMENTO KAUAN"
"7","Segurança","50.00","2025-06-25",
"8","Aquisição de Mercadorias","3550.00","2025-06-25","Mercadorias do Varejão "
"9","Aquisição de Mercadorias","308.00","2025-06-26","polpas de frutas puro sabor
"
"10","Funcionários","160.00","2025-06-26","RAISSA FREE LANCE"
"11","Funcionários","90.00","2025-06-26","ADRIANA E BARBOSA"
"13","Aquisição de Mercadorias","50.00","2025-06-26","CUXA E MAXIXE"
"14","Segurança","50.00","2025-06-25","SEGURANÇA CACHORRO LOKO"
"15","Aquisição de Mercadorias","10431.30","2025-06-30","pagamento de 2 carradas sexta e sabado"
"16","Funcionários","60.00","2025-06-30","diaria barbosa"
"17","Aquisição de Mercadorias","160.00","2025-07-01","cadeiras e 50,00 colher de pau"
"18","Aquisição de Mercadorias","52.00","2025-07-01","quiabo"
"19","Propaganda","1200.00","2025-07-01","radio antonio silva"
"20","Internet","101.34","2025-07-01","internet regional"
"21","Aquisição de Mercadorias","1640.00","2025-07-01","mercadorias do varejao"
"22","Aquisição de Mercadorias","340.00","2025-07-01","melancia 20 unidades"
"23","Funcionários","120.00","2025-07-01","diaria raissa , avisando que ela ira trabalhar fixa pagamento so dia 07/07"
"24","Aquisição de Mercadorias","313.33","2025-07-01","puro tempero "
"25","Aquisição de Mercadorias","60.50","2025-07-03","maxixe, cheiro verde"
"26","Aquisição de Mercadorias","15.00","2025-07-03","bolo de macaxeira para funcionarios"
"27","Aquisição de Mercadorias","140.00","2025-07-03","mamão, pepino, quiabo"
"28","Aquisição de Mercadorias","7660.00","2025-07-04","carrada de terça 01/07"
"29","Funcionários","270.00","2025-07-04","sacolas "
"30","Aquisição de Mercadorias","185.00","2025-07-04","mamao, pimenta"
"31","Funcionários","2596.00","2025-07-07","pg raquel, zeca, marcio, karine"
"32","Aquisição de Mercadorias","70.00","2025-07-07","banana coruda"
"33","Aquisição de Mercadorias","6825.00","2025-07-07","pagamento carrada 04/04 domingo"
"34","Aquisição de Mercadorias","40.00","2025-07-08","maxixe"
"35","Aquisição de Mercadorias","115.00","2025-07-08","compra de peta "
"36","Propaganda","100.00","2025-07-07","mesquita propaganda"
"37","Aquisição de Mercadorias","100.00","2025-07-09","caixa de pepino e quiabo"
"38","Aquisição de Mercadorias","7062.00","2025-07-09","carrada 06/07 "
"39","Funcionários","200.00","2025-07-09","raissa"
"40","Aquisição de Mercadorias","333.15","2025-07-09","pagamento puro temperos via pix "
"41","Aluguel","1200.00","2025-07-20","aluguel ponto"
"42","Funcionários","2.50","2025-07-10","pao para funcionario"
"43","Aquisição de Mercadorias","10.00","2025-07-10","gelo "
"44","Luz","100.00","2025-07-10","Manutenção ar condicionado"
"45","Funcionários","120.00","2025-07-10","Diaria do free lance "
"46","Funcionários","37.00","2025-07-11","gelo e pao para colaboradores"
"48","Aquisição de Mercadorias","30.00","2025-07-11","quiabo maxixe"
"49","Funcionários","100.00","2025-07-11","Vale zeca e raquel"
"50","Aquisição de Mercadorias","147.00","2025-07-11","mamao, quiabo, maixixe"
"51","Aquisição de Mercadorias","37.00","2025-07-11",
"52","Aquisição de Mercadorias","349.50","2025-07-12","polpa de frutas"
"53","Aquisição de Mercadorias","280.00","2025-07-12","sacola bilu"
"54","Aquisição de Mercadorias","74.00","2025-07-12",
"55","Funcionários","25.00","2025-07-12","almoço Raquel"
"56","Aquisição de Mercadorias","29.00","2025-07-13","quiabo, pao gelo"
"id","venda_id","produto_id","quantidade","unidade_medida","desconto"
"1","1","55","0","KG","0.00"
"2","1","29","1","KG","0.00"
"3","1","108","0","KG","0.00"
"5","2","7","3","KG","0.00"
"6","3","55","0","KG","0.00"
"7","3","54","0","KG","0.00"
"8","3","106","0","KG","0.00"
"9","4","10","0","KG","0.00"
"10","4","59","0","KG","0.00"
"11","5","17","1","DZ","0.00"
"12","5","152","2","UN","0.00"
"13","6","29","1","KG","0.00"
"14","6","102","1","PCT","0.00"
"15","6","55","0","KG","0.00"
"16","7","16","1","DZ","0.00"
"17","7","7","1","KG","0.00"
"18","7","4","1","KG","0.00"
"19","8","65","1","KG","0.00"
"20","8","4","1","KG","0.00"
"21","8","7","1","KG","0.00"
"22","9","16","1","DZ","0.00"
"23","9","44","0","KG","0.00"
"24","10","7","1","KG","0.00"
"25","10","162","5","UN","0.00"
"26","10","13","1","DZ","0.00"
"27","11","55","0","KG","0.00"
"28","11","13","1","DZ","0.00"
"29","12","7","1","KG","0.00"
"30","12","59","0","KG","0.00"
"31","13","106","0","KG","0.00"
"32","13","66","0","KG","0.00"
"33","13","108","0","KG","0.00"
"34","13","53","0","KG","0.00"
"35","13","165","1","UN","0.00"
"36","13","166","0","KG","0.00"
"37","14","31","1","KG","0.00"
"38","14","66","1","KG","0.00"
"39","14","106","1","KG","0.00"
"40","14","166","0","KG","0.00"
"41","14","55","0","KG","0.00"
"42","14","63","0","KG","0.00"
"43","15","122","0","UN","0.00"
"44","15","29","1","KG","0.00"
"45","15","13","2","DZ","0.00"
"46","16","109","1","KG","0.00"
"47","16","11","0","KG","0.00"
"48","17","43","0","KG","0.00"
"49","17","165","1","UN","0.00"
"50","18","7","1","KG","0.00"
"51","18","4","1","KG","0.00"
"52","19","168","1","KG","0.00"
"53","20","29","1","KG","0.00"
"54","20","170","1","KG","0.00"
"55","20","7","1","KG","0.00"
"56","20","108","1","KG","0.00"
"57","20","55","0","KG","0.00"
"58","20","13","1","DZ","0.00"
"59","21","161","0","KG","0.00"
"60","21","17","1","DZ","0.00"
"61","21","152","1","UN","0.00"
"62","21","66","0","KG","0.00"
"63","21","30","0","KG","0.00"
"64","22","4","1","KG","0.00"
"65","22","7","1","KG","0.00"
"66","22","108","0","KG","0.00"
"67","22","61","0","KG","0.00"
"68","22","2","0","KG","0.00"
"69","23","17","1","DZ","0.00"
"70","24","163","2","UN","0.00"
"71","25","1","2","KG","0.00"
"72","26","146","1","PCT","0.00"
"73","27","200","1","PCT","0.00"
"74","27","17","1","DZ","0.00"
"75","27","68","1","CTL30","0.00"
"76","28","108","0","KG","0.00"
"77","28","13","1","DZ","0.00"
"78","29","54","0","KG","0.00"
"79","29","58","1","KG","0.00"
"80","30","53","0","KG","0.00"
"81","30","7","1","PCT","0.00"
"82","30","4","1","PCT","0.00"
"83","31","7","3","PCT","0.00"
"84","32","152","8","UN","0.00"
"85","32","54","0","KG","0.00"
"86","33","7","1","PCT","0.00"
"87","34","164","4","UN","0.00"
"88","34","106","0","KG","0.00"
"89","34","161","1","KG","0.00"
"90","35","152","6","UN","0.00"
"91","35","31","2","KG","0.00"
"92","35","55","0","KG","0.00"
"93","35","10","0","KG","0.00"
"94","36","106","1","KG","0.00"
"95","36","66","2","KG","0.00"
"96","36","169","1","UN","0.00"
"97","37","58","1","KG","0.00"
"98","37","57","1","KG","0.00"
"99","37","44","1","KG","0.00"
"100","37","1","1","KG","0.00"
"101","38","108","0","KG","0.00"
"102","38","30","0","KG","0.00"
"103","39","66","0","KG","0.00"
"104","39","14","0","KG","0.00"
"105","40","106","0","KG","0.00"
"106","40","7","1","PCT","0.00"
"107","40","13","1","DZ","0.00"
"108","40","58","0","KG","0.00"
"109","40","14","0","KG","0.00"
"110","40","95","1","PCT","0.00"
"111","41","63","1","KG","0.00"
"112","41","1","1","KG","0.00"
"113","41","95","2","PCT","0.00"
"114","42","207","10","PCT","0.00"
"115","43","17","1","DZ","0.00"
"116","43","10","0","KG","0.00"
"117","44","58","0","KG","0.00"
"118","44","161","0","KG","0.00"
"119","44","64","0","KG","0.00"
"120","45","184","3","KG","0.00"
"121","45","55","0","KG","0.00"
"122","45","108","1","KG","0.00"
"123","45","30","0","KG","0.00"
"124","45","1","1","KG","0.00"
"125","45","29","0","KG","0.00"
"126","45","44","1","KG","0.00"
"127","45","152","7","UN","0.00"
"128","46","13","1","DZ","0.00"
"129","46","145","1","CTL","0.00"
"130","47","29","1","KG","0.00"
"131","48","17","1","DZ","0.00"
"132","48","152","2","UN","0.00"
"133","48","13","1","DZ","0.00"
"134","48","55","0","KG","0.00"
"135","48","66","0","KG","0.00"
"136","49","191","0","KG","0.00"
"137","49","108","0","KG","0.00"
"138","49","13","1","DZ","0.00"
"139","49","60","0","KG","0.00"
"140","49","59","0","KG","0.00"
"141","50","61","1","KG","0.00"
"142","51","58","1","KG","0.00"
"143","51","150","15","UN","0.00"
"144","52","44","0","KG","0.00"
"145","52","60","0","KG","0.00"
"146","52","66","0","KG","0.00"
"147","52","11","0","KG","0.00"
"148","52","64","0","KG","0.00"
"149","52","93","1","UN","0.00"
"150","52","184","3","KG","0.00"
